date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:00	7551/7551	U-----	200	untouched ('OK')	text/html	etag:%221d7f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/index.html	www.iisermohali.ac.in/web/foundation-day/index.html	(from )
20:26:00	236606/236606	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%2239c3e-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/flask.ico	www.iisermohali.ac.in/web/foundation-day/flask.ico	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:00	71552/71552	U-----	200	untouched ('OK')	text/css	etag:%2211780-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/animate.css	www.iisermohali.ac.in/web/foundation-day/css/animate.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	51227/51227	U-----	200	untouched ('OK')	text/css	etag:%22c81b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css	www.iisermohali.ac.in/web/foundation-day/css/icomoon.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	149256/149256	U-----	200	untouched ('OK')	text/css	etag:%2224708-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css	www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	2592/2592	U-----	200	untouched ('OK')	text/css	etag:%22a20-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/superfish2.0.css	www.iisermohali.ac.in/web/foundation-day/css/superfish2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	15413/15413	U-----	200	untouched ('')	application/javascript	etag:%223c35-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/modernizr-2.6.2.min.js	www.iisermohali.ac.in/web/foundation-day/js/modernizr-2.6.2.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	22067/22067	U-----	200	untouched ('OK')	text/css	etag:%225633-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css	www.iisermohali.ac.in/web/foundation-day/css/style2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	6075/6075	U-----	200	untouched ('OK')	text/html	etag:%2217bb-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/about.html	www.iisermohali.ac.in/web/foundation-day/about.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	13513/13513	U-----	200	untouched ('OK')	text/html	etag:%2234c9-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/events.html	www.iisermohali.ac.in/web/foundation-day/events.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	12970/12970	U-----	200	untouched ('OK')	text/html	etag:%2232aa-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/students.html	www.iisermohali.ac.in/web/foundation-day/students.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	6478/6478	U-----	200	untouched ('OK')	text/html	etag:%22194e-5769806e94f5a%22	http://www.iisermohali.ac.in/web/foundation-day/contact.html	www.iisermohali.ac.in/web/foundation-day/contact.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	183372/183372	U-----	200	untouched ('')	image/png	etag:%222cc4c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/headerW.png	www.iisermohali.ac.in/web/foundation-day/images/headerW.png	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	4888372/4888372	U-----	200	untouched ('')	image/jpeg	etag:%224a9734-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/HomEdit.jpg	www.iisermohali.ac.in/web/foundation-day/images/HomEdit.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	480368/480368	U-----	200	untouched ('')	image/jpeg	etag:%2275470-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/arts.jpg	www.iisermohali.ac.in/web/foundation-day/images/arts.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	6534/6534	U-----	200	untouched ('OK')	text/html	etag:%221986-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/faculty.html	www.iisermohali.ac.in/web/foundation-day/faculty.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	100771/100771	U-----	200	untouched ('')	image/jpeg	etag:%22189a3-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/quiz.jpg	www.iisermohali.ac.in/web/foundation-day/images/quiz.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	146456/146456	U-----	200	untouched ('')	image/jpeg	etag:%2223c18-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/Lewin.jpg	www.iisermohali.ac.in/web/foundation-day/images/Lewin.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	18287/18287	U-----	200	untouched ('OK')	text/html	etag:%22476f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/gallery.html	www.iisermohali.ac.in/web/foundation-day/gallery.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	84380/84380	U-----	200	untouched ('')	application/javascript	etag:%221499c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.min.js	www.iisermohali.ac.in/web/foundation-day/js/jquery.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	1277303/1277303	U-----	200	untouched ('')	image/jpeg	etag:%22137d77-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/treasure2.jpg	www.iisermohali.ac.in/web/foundation-day/images/treasure2.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	8111/8111	U-----	200	untouched ('')	application/javascript	etag:%221faf-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.easing.1.3.js	www.iisermohali.ac.in/web/foundation-day/js/jquery.easing.1.3.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	36816/36816	U-----	200	untouched ('')	application/javascript	etag:%228fd0-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/bootstrap.min.js	www.iisermohali.ac.in/web/foundation-day/js/bootstrap.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	8835/8835	U-----	200	untouched ('')	application/javascript	etag:%222283-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.waypoints.min.js	www.iisermohali.ac.in/web/foundation-day/js/jquery.waypoints.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
