date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:00	836/836	------	200	untouched ('OK')	text/plain	etag:%22344-54dfee2e147c0%22	http://www.iisermohali.ac.in/robots.txt		(from )
20:22:00	7551/7551	------	200	untouched ('OK')	text/html	etag:%221d7f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/index.html	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/index.html	(from )
20:22:00	236606/236606	------	200	untouched ('')	image/vnd.microsoft.icon	etag:%2239c3e-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/flask.ico	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/flask.ico	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	71552/71552	------	200	untouched ('OK')	text/css	etag:%2211780-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/animate.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/animate.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	51227/51227	------	200	untouched ('OK')	text/css	etag:%22c81b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/icomoon.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	149256/149256	------	200	untouched ('OK')	text/css	etag:%2224708-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	2592/2592	------	200	untouched ('OK')	text/css	etag:%22a20-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/superfish2.0.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/superfish2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	22067/22067	------	200	untouched ('OK')	text/css	etag:%225633-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/style2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	15413/15413	------	200	untouched ('')	application/javascript	etag:%223c35-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/modernizr-2.6.2.min.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/modernizr-2.6.2.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	6075/6075	------	200	untouched ('OK')	text/html	etag:%2217bb-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/about.html	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/about.html	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
